agency_name,url,agency_type,niche_focus,location,loaded_successfully,first_impression_score,visual_quality_score,positioning_clarity_score,offer_clarity_score,cta_clarity_score,proof_trust_score,case_study_quality_score,lead_capture_quality_score,mobile_conversion_score,speed_performance_notes,seo_notes,standout_ideas,weaknesses_to_avoid,screenshot_path,source,source_query,visible_hero_h1,primary_cta_candidates
A Digital Marketing and Custom Web Design agency,https://upqode.com/,SEO agency,Roofing,Phoenix,true,10,10,10,10,8,10,9,6,8,2260ms DOMContentLoaded/render wait; HTTP 200; 28 images detected.,Title 26 chars; meta description 156 chars; H1 present.,Quantified proof/result language appears early. CTA frames the next step as consultative rather than generic contact. Proof path is visible from the homepage.,,research/screenshots/017-upqode-com.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,A Digital Marketing and Custom Web Design agency,GET A PROPOSAL; Our Work; Working Process; Get in Touch; GET IN TOUCH; Creating great work that gets results; Get free migration & PHP fixes
Boutique studio.,https://www.fiftyseven.co/,Branding agency,,,true,6,9,8,5,5,4,5,4,5,1767ms DOMContentLoaded/render wait; HTTP 200; 5 images detected.,Title 46 chars; meta description 84 chars; H1 present.,Proof path is visible from the homepage. Hero headline is concise enough to scan.,Proof is not strongly quantified. Case-study or testimonial proof is hard to find.,research/screenshots/017-fiftyseven-co.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,Boutique studio.,Work(7); Contact; OUR WORK
BASIC/DEPT®,https://www.basicagency.com/,Branding agency,,,true,6,10,5,5,7,3,3,8,7,1231ms DOMContentLoaded/render wait; HTTP 200; 23 images detected.,Title 54 chars; meta description 154 chars; H1 missing.,Proof path is visible from the homepage. Positioning narrows to a buyer or industry. Lead capture is embedded on-site.,Proof is not strongly quantified. Case-study or testimonial proof is hard to find. Hero headline is missing or hard to scan.,research/screenshots/021-basicagency-com.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,,Work; Contact; WORK; CONTACT
WE TRANSFORM IDEAS INTO DIGITAL OUTCOMES,https://plastic.design/,Branding agency,B2B,,true,8,10,9,9,7,7,9,8,6,3824ms DOMContentLoaded/render wait; HTTP 200; 19 images detected.,Title 50 chars; meta description 117 chars; H1 present.,CTA frames the next step as consultative rather than generic contact. Proof path is visible from the homepage. Positioning narrows to a buyer or industry.,Proof is not strongly quantified.,research/screenshots/017-plastic-design.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,WE TRANSFORM IDEAS INTO DIGITAL OUTCOMES,"Contact us. Contact us. Contact us. Contact us. Contact us. Contact us.; Let's talk; Let's talk; 01. Strategy and Consultancy. Listening carefully, understanding, and analysing needs at every stage is essential to our work. We create and adapt strategies to overcome constantly evolving challenges and optimise results for sustainable success. We provide ongoing advice and support, accompanying businesses on their journey into the future.; Let’s talk. ↘"
SALT AND PEPPER,https://snp.agency/,Web design agency,E-commerce,,true,7,10,7,7,8,4,7,6,6,3648ms DOMContentLoaded/render wait; HTTP 200; 62 images detected.,Title 15 chars; meta description 146 chars; H1 missing.,Proof path is visible from the homepage.,Proof is not strongly quantified. Hero headline is missing or hard to scan.,research/screenshots/017-snp-agency.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,,Cases OUR WORK; Contact REACH OUT; 06 CONTACT; FACEBOOK
monogrid.com,https://www.monogrid.com/,Digital agency,,,true,4,5,4,4,3,3,3,3,4,1822ms DOMContentLoaded/render wait; HTTP 200; 0 images detected.,Title 0 chars; meta description 0 chars; H1 missing.,,Proof is not strongly quantified. Primary CTA appears soft or unclear. Case-study or testimonial proof is hard to find.,research/screenshots/024-monogrid-com.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,,
The Unmistakably Original® Design Studio,https://toyfight.co/,Web design agency,E-commerce,,true,7,10,9,7,5,5,3,4,4,1630ms DOMContentLoaded/render wait; HTTP 200; 2 images detected.,Title 8 chars; meta description 145 chars; H1 present.,Proof path is visible from the homepage. Hero headline is concise enough to scan.,Proof is not strongly quantified. Case-study or testimonial proof is hard to find. Contact path is weak.,research/screenshots/024-toyfight-co.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,The Unmistakably Original® Design Studio,WORK WORK; Cult Gaia App Sculptural Style Gets an App Marketing eCommerce
A Studio That Engaged in All Aspects of Creative Work for Branding.,https://shiftbrain.com/,Branding agency,,,true,8,10,10,9,5,4,5,4,7,4189ms DOMContentLoaded/render wait; HTTP 200; 170 images detected.,Title 15 chars; meta description 71 chars; H1 present.,CTA frames the next step as consultative rather than generic contact. Proof path is visible from the homepage. Hero headline is concise enough to scan.,Proof is not strongly quantified.,research/screenshots/023-shiftbrain-com.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,A Studio That Engaged in All Aspects of Creative Work for Branding.,"NTT DATA INSTITUTE OF MANAGEMENT CONSULTING, Inc. Recruitment Site NTT DATA INSTITUTE OF MANAGEMENT CONSULTING, Inc."
Design. Development. Mastership.,https://videinfra.com/,Branding agency,SaaS,,true,9,10,9,10,8,7,5,6,8,2849ms DOMContentLoaded/render wait; HTTP 200; 21 images detected.,Title 56 chars; meta description 178 chars; H1 present.,Proof path is visible from the homepage. Hero headline is concise enough to scan.,,research/screenshots/024-videinfra-com.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,Design. Development. Mastership.,Work; Contact; Startups; Best Startup Websites: 6 Award-Winning Examples That Stand Out at First Glance 15 min Startup; Get In Touch; Facebook; Startups; Work; Contact; Get In Touch
Creating digital products with a human face,https://redcollar.co/,Web design agency,,,true,9,10,10,10,8,9,9,6,5,6001ms DOMContentLoaded/render wait; HTTP 200; 26 images detected.,Title 56 chars; meta description 60 chars; H1 present.,Quantified proof/result language appears early. Proof path is visible from the homepage. Positioning narrows to a buyer or industry.,,research/screenshots/021-redcollar-co.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,Creating digital products with a human face,all works all works; Gett; facebook; work work; contacts contacts
"V i e n s - l à , s t u d i o c r é a t i f D i g i t a l & B r a n d i n g",https://viens-la.com/,Branding agency,,,true,7,10,7,7,6,5,3,7,6,2760ms DOMContentLoaded/render wait; HTTP 200; 137 images detected.,Title 56 chars; meta description 141 chars; H1 present.,Quantified proof/result language appears early. Lead capture is embedded on-site. Hero headline is concise enough to scan.,Case-study or testimonial proof is hard to find.,research/screenshots/024-viens-la-com.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,"V i e n s - l à , s t u d i o c r é a t i f D i g i t a l & B r a n d i n g",Contact
"Move fast, build to last.",https://ref.digital/,Web design agency,,,true,7,8,9,7,5,4,5,4,6,1504ms DOMContentLoaded/render wait; HTTP 200; 21 images detected.,Title 45 chars; meta description 144 chars; H1 present.,Proof path is visible from the homepage. Hero headline is concise enough to scan.,Proof is not strongly quantified. Case-study or testimonial proof is hard to find.,research/screenshots/030-ref-digital.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,"Move fast, build to last.",SEE OUR WORK; [ ] WORK; [ ] CONTACT
We empower brands to inspire people,https://www.nk.studio/,SEO agency,E-commerce,,true,8,10,9,8,4,10,9,6,6,2041ms DOMContentLoaded/render wait; HTTP 200; 39 images detected.,Title 79 chars; meta description 125 chars; H1 present.,Quantified proof/result language appears early. Proof path is visible from the homepage. Lead capture is embedded on-site.,,research/screenshots/028-nk-studio.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,We empower brands to inspire people,Work; Work; Work
We create 3D visual storytelling and interactive web experiences that help brands stand out,https://lusion.co/,Creative agency,,,true,6,10,9,4,4,3,3,6,6,1493ms DOMContentLoaded/render wait; HTTP 200; 0 images detected.,Title 52 chars; meta description 136 chars; H1 present.,Proof path is visible from the homepage. Lead capture is embedded on-site. Hero headline is concise enough to scan.,Proof is not strongly quantified. Primary CTA appears soft or unclear. Case-study or testimonial proof is hard to find.,research/screenshots/030-lusion-co.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,We create 3D visual storytelling and interactive web experiences that help brands stand out,
Huncwot,https://www.huncwot.com/,Branding agency,,New York City,true,8,10,6,9,6,7,3,5,6,3858ms DOMContentLoaded/render wait; HTTP 200; 27 images detected.,Title 7 chars; meta description 52 chars; H1 missing.,Proof path is visible from the homepage.,Proof is not strongly quantified. Case-study or testimonial proof is hard to find. Hero headline is missing or hard to scan.,research/screenshots/030-huncwot-com.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,,Contact; Contact
A DIGITAL DESIGN STUDIO DRIVEN BY RESEARCH & STRATEGY,https://dashdigital.studio/,Branding agency,Landscaping/outdoor living,,true,9,10,10,10,8,9,8,6,6,2002ms DOMContentLoaded/render wait; HTTP 200; 21 images detected.,Title 38 chars; meta description 0 chars; H1 present.,Quantified proof/result language appears early. Proof path is visible from the homepage. Positioning narrows to a buyer or industry.,Meta description is missing.,,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=3,A DIGITAL DESIGN STUDIO DRIVEN BY RESEARCH & STRATEGY,WORK; CONTACT; GET TO KNOW US ABOUT US; EXPLORE KIA VIEW WORK; EXPLORE AFRISAM VIEW WORK; WORK; CONTACT; WORK 27; GET IN TOUCH CONTACT US
"WE USE STRATEGY TO UNDERSTAND, TECHNOLOGY TO CREATE, DESIGN TO INSPIRE — AND HUMAN JUDGMENT TO MAKE IT MEMORABLE.",https://dgrees.studio/,Branding agency,Real estate,,true,8,10,7,10,4,9,9,6,5,2604ms DOMContentLoaded/render wait; HTTP 200; 78 images detected.,Title 49 chars; meta description 136 chars; H1 present.,Proof path is visible from the homepage. Positioning narrows to a buyer or industry. Lead capture is embedded on-site.,,research/screenshots/029-dgrees-studio.jpg,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=2,"WE USE STRATEGY TO UNDERSTAND, TECHNOLOGY TO CREATE, DESIGN TO INSPIRE — AND HUMAN JUDGMENT TO MAKE IT MEMORABLE.",WORKS; LET’S TALK; Let’s Talk!
Rezo Zero • Agence digitale créative,https://www.rezo-zero.com/,Web design agency,,,true,8,10,7,9,8,4,3,6,4,1431ms DOMContentLoaded/render wait; HTTP 200; 20 images detected.,Title 36 chars; meta description 136 chars; H1 missing.,Proof path is visible from the homepage.,Case-study or testimonial proof is hard to find. Hero headline is missing or hard to scan.,,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=3,,Contact; Contact; contact@rezo-zero.com
"A ""CODE BOUTIQUE"" THAT HELPS EXTRAORDINARY BRANDS PROVE WHAT’S POSSIBLE THROUGH DIGITAL CRAFT A ""CODE BOUTIQUE"" THAT HELPS EXTRAORDINARY BRANDS PROVE WHAT’S POSSIBLE THROUGH DIGITAL CRAFT",https://merlin.studio/,Creative agency,,,true,7,10,7,4,6,9,8,5,5,2573ms DOMContentLoaded/render wait; HTTP 200; 18 images detected.,Title 52 chars; meta description 159 chars; H1 present.,Proof path is visible from the homepage.,Proof is not strongly quantified. Hero headline is missing or hard to scan.,,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=3,"A ""CODE BOUTIQUE"" THAT HELPS EXTRAORDINARY BRANDS PROVE WHAT’S POSSIBLE THROUGH DIGITAL CRAFT A ""CODE BOUTIQUE"" THAT HELPS EXTRAORDINARY BRANDS PROVE WHAT’S POSSIBLE THROUGH DIGITAL CRAFT",WORK WORK WORK; CONTACT CONTACT CONTACT; Click to download Merlin's Brandbook
Index,http://www.index.studio/,Digital agency,,,true,6,10,5,5,6,4,3,5,6,3380ms DOMContentLoaded/render wait; HTTP 200; 4 images detected.,Title 5 chars; meta description 39 chars; H1 missing.,Proof path is visible from the homepage.,Proof is not strongly quantified. Case-study or testimonial proof is hard to find. Hero headline is missing or hard to scan.,,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=3,,Work; Contact; Work; Contact
A CREATIVE DIGITAL AGENCY THAT GOES ALL IN OR NOT AT ALL.,https://lamalama.com/,Paid media agency,B2B,,true,9,10,10,10,9,6,8,10,9,4631ms DOMContentLoaded/render wait; HTTP 200; 128 images detected.,Title 51 chars; meta description 139 chars; H1 present.,Quantified proof/result language appears early. Proof path is visible from the homepage. Lead capture is embedded on-site.,,,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=3,A CREATIVE DIGITAL AGENCY THAT GOES ALL IN OR NOT AT ALL.,Work; Contact; SCHEDULE A CALL SCHEDULE A CALL; START A PROJECT START A PROJECT; GET IN TOUCH GET IN TOUCH; ( + ) WORK WORK ( + ) WORK WORK; ( + ) Work Work ( + ) Work Work; START A PROJECT START A PROJECT START A PROJECT START A PROJECT; SCHEDULE A CALL SCHEDULE A CALL SCHEDULE A CALL SCHEDULE A CALL
Design Technology Studio Design Technology Studio,https://nightjar.co/,Branding agency,E-commerce,,true,9,10,10,8,9,9,9,9,6,3496ms DOMContentLoaded/render wait; HTTP 200; 7 images detected.,Title 33 chars; meta description 173 chars; H1 present.,Proof path is visible from the homepage. Lead capture is embedded on-site. Hero headline is concise enough to scan.,Proof is not strongly quantified.,,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=3,Design Technology Studio Design Technology Studio,"Work; Contact; STARTUP & VENTURE; GET IN TOUCH GET IN TOUCH GET IN TOUCH; Offcuts Book Release: Poster Archive 200 'PA200' At the end of last year, Harrison Marshall reached out and invited Nightjar to contribute a poster to his upcoming book, 'PA200'."
A digital studio & branding powerhouse making cool shit that performs,https://basement.studio/,Branding agency,Home services,,true,8,10,10,10,4,5,3,6,6,1567ms DOMContentLoaded/render wait; HTTP 200; 36 images detected.,Title 50 chars; meta description 70 chars; H1 present.,Proof path is visible from the homepage. Positioning narrows to a buyer or industry. Lead capture is embedded on-site.,Proof is not strongly quantified. Primary CTA appears soft or unclear. Case-study or testimonial proof is hard to find.,,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=3,A digital studio & branding powerhouse making cool shit that performs,
UX and branding designed to win,https://tubikstudio.com/,Branding agency,Healthcare,,true,9,10,10,10,9,5,3,9,9,1919ms DOMContentLoaded/render wait; HTTP 200; 147 images detected.,Title 49 chars; meta description 120 chars; H1 present.,Quantified proof/result language appears early. Proof path is visible from the homepage. Lead capture is embedded on-site.,Case-study or testimonial proof is hard to find.,,Awwwards agency/studio directory,https://www.awwwards.com/directory/agency-studio/?page=3,UX and branding designed to win,"workwork; contacts; work work; contact us contact us; { ""items"": [ { ""url"": ""https://vimeo.com/803420461?autoplay"", ""originalUrl"": ""https://vimeo.com/803420461?autoplay"", ""width"": 940, ""height"": 529, ""thumbnailUrl"": ""https://i.vimeocdn.com/video/1621824253-726686b8526b430e0f8309519494c8da8bcb9a56744f0a8fe464328f6bacfd56-d_1280"", ""html"": ""<iframe class=\""embedly-embed\"" src=\""//cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fplayer.vimeo.com%2Fvideo%2F803420461%3Fapp_id%3D122963&dntp=1&display_name=Vimeo&url=https%3A%2F%2Fvimeo.com%2F803420461&image=https%3A%2F%2Fi.vimeocdn.com%2Fvideo%2F1621824253-726686b8526b430e0f8309519494c8da8bcb9a56744f0a8fe464328f6bacfd56-d_1280&type=text%2Fhtml&schema=vimeo\"" width=\""940\"" height=\""529\"" scrolling=\""no\"" title=\""Vimeo embed\"" frameborder=\""0\"" allow=\""autoplay; fullscreen; encrypted-media; picture-in-picture;\"" allowfullscreen=\""true\""></iframe>"", ""type"": ""video"" } ], ""group"": """" }; { ""items"": [ { ""url"": ""https://www.youtube.com/watch?v=KRn2whCgHww&t=1s"", ""originalUrl"": ""https://www.youtube.com/watch?v=KRn2whCgHww&t=1s"", ""width"": 940, ""height"": 528, ""thumbnailUrl"": ""https://i.ytimg.com/vi/KRn2whCgHww/hqdefault.jpg"", ""html"": ""<iframe class=\""embedly-embed\"" src=\""//cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FKRn2whCgHww%3Fstart%3D1%26feature%3Doembed%26start%3D1&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DKRn2whCgHww&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2FKRn2whCgHww%2Fhqdefault.jpg&type=text%2Fhtml&schema=youtube\"" width=\""940\"" height=\""528\"" scrolling=\""no\"" title=\""YouTube embed\"" frameborder=\""0\"" allow=\""autoplay; fullscreen; encrypted-media; picture-in-picture;\"" allowfullscreen=\""true\""></iframe>"", ""type"": ""video"" } ], ""group"": """" }; Talk First, Design Later: The Secret to Better Projects Anton Chyrskyi UI/UX DESIGNER; Abuk Ukrainian audiobooks platform; more work +"
